total dirs files folder_names file_names fo_and_fi_names repo_name
30 0.27 0.73 "_cartodb-platform _includes _layouts _sass _tutorials fonts img lib " ".gitignore .travis.yml Gemfile Gemfile.lock Gruntfile.js README.md _cartodb-js.md _config-prod.yml _config.yml _maps-api.md _sql-api.md cartodb-editor.md cartodb-platform.md config.rb docs_build.sh faqs.md favicon.ico index.md package.json s3_website.yml tips-and-tricks.md tutorials.md " ".gitignore .travis.yml Gemfile Gemfile.lock Gruntfile.js README.md _cartodb-js.md _cartodb-platform _config-prod.yml _config.yml _includes _layouts _maps-api.md _sass _sql-api.md _tutorials cartodb-editor.md cartodb-platform.md config.rb docs_build.sh faqs.md favicon.ico fonts img index.md lib package.json s3_website.yml tips-and-tricks.md tutorials.md " kathypennacchio_docs
7 0.29 0.71 "js text " ".gitignore .gitmodules README.md index.html style.css " ".gitignore .gitmodules README.md index.html js style.css text " haldean_docstore
15 0.47 0.53 ".vscode _unused admin common design dev main " ".gitattributes .gitignore LICENSE README.md contributing.md copy-files.ps1 gulpfile.js package.json " ".gitattributes .gitignore .vscode LICENSE README.md _unused admin common contributing.md copy-files.ps1 design dev gulpfile.js main package.json " dnnsoftware_Docs
2 0.50 0.50 "drm-howto " ".gitignore " ".gitignore drm-howto " dvdhrm_docs
5 0.20 0.80 "docs " "CODE_OF_CONDUCT.md README.md WORKFLOW.md template.md " "CODE_OF_CONDUCT.md README.md WORKFLOW.md docs template.md " open-swift_docs
8 0.25 0.75 "lib source " ".gitignore CONTRIBUTING.md Gemfile Gemfile.lock README.md config.rb " ".gitignore CONTRIBUTING.md Gemfile Gemfile.lock README.md config.rb lib source " catalyzeio_employees
15 0.27 0.73 "demo docs rest_framework_docs tests " ".gitignore .travis.yml LICENSE MANIFEST.in README.md codecov.yml mkdocs.yml requirements.txt runtests.py setup.cfg setup.py " ".gitignore .travis.yml LICENSE MANIFEST.in README.md codecov.yml demo docs mkdocs.yml requirements.txt rest_framework_docs runtests.py setup.cfg setup.py tests " manosim_django-rest-framework-docs
2 0.50 0.50 "5.0 " "README.md " "5.0 README.md " larabook_docs
1 0.00 1.00 "" "README.md " "README.md " Sylius_Sylius-Docs
1 0.00 1.00 "" "README.md " "README.md " homogenius_docs
