total dirs files folder_names file_names fo_and_fi_names repo_name
25 0.88 0.12 "Ari Bruno James_Mah Kerrie Leon-Falvey Melissa Micah Pedro catherine charith chloe dean duyen ej jason kasengchan nick paul-w paulmorello sean tim will " "arrays.md day2.md indext.html " "Ari Bruno James_Mah Kerrie Leon-Falvey Melissa Micah Pedro arrays.md catherine charith chloe day2.md dean duyen ej indext.html jason kasengchan nick paul-w paulmorello sean tim will " epoch_week1_homework
8 0.00 1.00 "" "LICENSE Perl Homework 1.md Perl Homework 2.md Perl Homework 3.md README.md SRR014849_1_short.fastq SRR014849_quality_issues.fastq homework_6.md " "LICENSE Perl Homework 1.md Perl Homework 2.md Perl Homework 3.md README.md SRR014849_1_short.fastq SRR014849_quality_issues.fastq homework_6.md " NGSAnalysisOnBeocatClass_homework
4 0.75 0.25 "gulp-basics products-by-types responsive_design " ".gitignore " ".gitignore gulp-basics products-by-types responsive_design " amiskov_homeworks
3 0.67 0.33 "src test " "results.json " "results.json src test " pdxjohnny_homework
2 0.00 1.00 "" "permuteChildren.html rectangles.html " "permuteChildren.html rectangles.html " eperales_homework
15 0.60 0.40 "app bin config db lib log public test vendor " ".gitignore Gemfile Gemfile.lock README.rdoc Rakefile config.ru " ".gitignore Gemfile Gemfile.lock README.rdoc Rakefile app bin config.ru config db lib log public test vendor " kiei925-winter14_week5-homework
3 0.67 0.33 "database src " "pom.xml " "database pom.xml src " aliakseiB_homework
6 0.00 1.00 "" "MemberPage.php Oracle.php changpassword.php index.php login.php logout.php " "MemberPage.php Oracle.php changpassword.php index.php login.php logout.php " titleohoh_homework
2 1.00 0.00 "CocosJSGame github_homework " "" "CocosJSGame github_homework " epsodei_homework
2 0.50 0.50 "Calc " "README.md " "Calc README.md " IFMO-Android-2016_homework1
2 0.50 0.50 "CustomKeyboard " "README.md " "CustomKeyboard README.md " evagnostic_ios-decal-hw2
6 0.17 0.83 "SwiftCalc " ".gitignore README.md double-calc-2.gif double-calc.gif int-calc.gif " ".gitignore README.md SwiftCalc double-calc-2.gif double-calc.gif int-calc.gif " iosdecal_ios-decal-hw2
10 0.90 0.10 "hw01 hw02 hw03 hw04 hw05 hw06 hw07 hw08 hw09 " "README.md " "README.md hw01 hw02 hw03 hw04 hw05 hw06 hw07 hw08 hw09 " ps-tuebingen-sdpt-2016_homework
3 0.00 1.00 "" "api_midterm_saran_ahluwalia.rb hashes_api.rb secret_number.rb " "api_midterm_saran_ahluwalia.rb hashes_api.rb secret_number.rb " ahlusar1989_homework
6 0.17 0.83 "js " ".gitignore README.md app.js index.html package.json " ".gitignore README.md app.js index.html js package.json " saintjoe-cs_highlight
1 0.00 1.00 "" "README.md " "README.md " amoylin_homework
5 0.60 0.40 "_data assets scaffolding " "README.md homework-rocketship " "README.md _data assets homework-rocketship scaffolding " iict-it227_homework-rocketship
7 0.71 0.29 "FS2 FS3 FS4 Krams für SX Tex Templates " ".gitignore README.md " ".gitignore FS2 FS3 FS4 Krams für SX README.md Tex Templates " 4kobras_Homework
3 0.33 0.67 "NewStudyCpp " ".gitattributes .gitignore " ".gitattributes .gitignore NewStudyCpp " bakaikin_Homework
6 0.00 1.00 "" "README a.txt finalraw.data raw.data raw2.data raw3.data " "README a.txt finalraw.data raw.data raw2.data raw3.data " seclab_homework
6 0.50 0.50 "css images js " ".gitignore README.md index.html " ".gitignore README.md css images index.html js " FEWD80_homework-04-citipix
13 1.00 0.00 "task_01 task_02 task_03 task_04 task_05 task_06 task_07 task_08 task_09 task_10 task_11 task_12 task_13 " "" "task_01 task_02 task_03 task_04 task_05 task_06 task_07 task_08 task_09 task_10 task_11 task_12 task_13 " AlenkinOleg_Homework
9 0.67 0.33 "TFIDF data exampleApp mcount mfreq mtfidf " "README.md Vagrantfile setup.sh " "README.md TFIDF Vagrantfile data exampleApp mcount mfreq mtfidf setup.sh " gogodbrl_Homework
7 0.29 0.71 "spec views " ".gitignore Gemfile README.md assignment.md main.rb " ".gitignore Gemfile README.md assignment.md main.rb spec views " clearf_sinatra-to-do-homework
1 1.00 0.00 "TopGame " "" "TopGame " NurislamS_Homework
3 0.33 0.67 "src " ".gitignore pom.xml " ".gitignore pom.xml src " feibingx_homework
2 0.00 1.00 "" ".gitignore README.md " ".gitignore README.md " taisiyat_homework
4 0.25 0.75 "ConsoleApplication5 " ".gitattributes .gitignore ConsoleApplication5.sln " ".gitattributes .gitignore ConsoleApplication5.sln ConsoleApplication5 " needyou0626_HOMEWORK
4 0.50 0.50 "challenges tasks " ".rubocop.yml README.md " ".rubocop.yml README.md challenges tasks " fmi_ruby-homework
5 0.40 0.60 "css js " ".gitignore README.md index.html " ".gitignore README.md css index.html js " FEWD80_test-homework-assignment
15 0.60 0.40 "app config db doc lib log public script vendor " ".gitignore Gemfile Gemfile.lock README.rst Rakefile config.ru " ".gitignore Gemfile Gemfile.lock README.rst Rakefile app config.ru config db doc lib log public script vendor " grent_cosc480-homework2
2 0.50 0.50 "students " "README.asciidoc " "README.asciidoc students " nau-comp3320_homework00
3 0.00 1.00 "" ".gitattributes README.md test_put.py " ".gitattributes README.md test_put.py " 5ia_homework
12 0.83 0.17 "homework1.4 homework2.6 homework3.4 homework3.5 homework3.6 homework4.5 homework5.2 homework5.3 homework5.4 homework6.3 " ".gitignore README " ".gitignore README homework1.4 homework2.6 homework3.4 homework3.5 homework3.6 homework4.5 homework5.2 homework5.3 homework5.4 homework6.3 " fatroom_cs373
