all_commits weekend_commits weekday_commits work_hrs_commits non_work_hrs_commits inter_commit_distance_average commits_per_day_average authors_count author_vs_committer active_days repo_name
63.00 0.11 0.89 0.57 0.43 251.69 0.10 2.00 0.00 0.07 vnpy_vnpy
416.00 0.11 0.89 0.44 0.56 41.61 0.58 23.00 0.00 0.22 cs1331_cs1331
67.00 0.63 0.37 0.72 0.28 71.86 0.34 6.00 0.00 0.10 dyweb_course
25.00 0.00 1.00 0.32 0.68 380.47 0.07 11.00 0.00 0.03 jhu-ep-coursera_fullstack-course1-module1
19.00 0.21 0.79 0.53 0.47 818.62 0.03 2.00 0.00 0.02 EasyD_IntroToDataScience
230.00 0.00 1.00 0.53 0.47 26.55 0.91 11.00 0.00 0.17 cbahlai_OSRR_course
51.00 0.16 0.84 0.47 0.53 158.94 0.15 10.00 0.00 0.07 jtleek_dataanalysis
5.00 0.20 0.80 1.00 0.00 107.17 0.28 1.00 0.00 0.17 objcio_core-data
372.00 0.11 0.89 0.34 0.66 72.96 0.33 12.00 0.00 0.10 DrSkippy_Data-Science-45min-Intros
35.00 0.23 0.77 0.66 0.34 606.08 0.04 3.00 0.00 0.02 mbtaviz_mbtaviz
3.00 0.00 1.00 0.00 1.00 215.40 0.17 1.00 0.00 0.11 jmstanto_data-science-r
67.00 0.04 0.96 0.37 0.63 104.57 0.23 4.00 0.00 0.10 micrum_course
39.00 0.23 0.77 0.13 0.87 36.04 0.68 1.00 0.00 0.21 chrisdaly_Data-Scientist-MOOC
969.00 0.13 0.87 0.25 0.75 20.45 1.17 24.00 0.00 0.24 STAT545-UBC_STAT545-UBC
267.00 0.01 0.99 0.64 0.36 39.80 0.61 26.00 0.00 0.09 msr-ds3_coursework
502.00 0.08 0.92 0.76 0.24 8.01 3.00 5.00 0.00 0.38 angular-university_courses
2.00 1.00 0.00 0.50 0.50 5201.45 0.01 2.00 0.00 0.01 alignedleft_data-vis-d3
275.00 0.23 0.77 0.18 0.82 59.44 0.41 45.00 0.00 0.15 cs231n_cs231n
144.00 0.42 0.58 0.45 0.55 115.97 0.21 3.00 0.00 0.09 hanzichi_hanzichi
261.00 0.12 0.88 0.56 0.44 72.47 0.33 15.00 0.00 0.10 DataScienceSpecialization_courses
66.00 0.08 0.92 0.38 0.62 51.44 0.47 1.00 0.00 0.13 mausv_Course
286.00 0.49 0.51 0.38 0.62 52.36 0.46 6.00 0.00 0.07 uxrecipe_uxrecipe
1848.00 0.05 0.95 0.56 0.44 4.52 5.31 51.00 0.00 0.42 rangle_ngCourse2
401.00 0.13 0.87 0.70 0.30 61.28 0.39 7.00 0.00 0.04 fbkarsdorp_python-course
67.00 0.03 0.97 0.25 0.75 16.63 1.47 8.00 0.00 0.41 hmason_datastorytelling
268.00 0.10 0.90 0.55 0.45 63.92 0.38 3.00 0.00 0.13 CSC-DevOps_Course
47.00 0.11 0.89 0.62 0.38 73.85 0.33 2.00 0.00 0.15 hmods_course
54.00 0.13 0.87 0.31 0.69 809.58 0.03 6.00 0.00 0.02 saasbook_courseware
735.00 0.34 0.66 0.18 0.82 27.51 0.87 5.00 0.00 0.20 mahmoudparsian_data-algorithms-book
18.00 0.00 1.00 0.72 0.28 55.70 0.46 3.00 0.00 0.05 yhat_DataGotham2013
5.00 0.00 1.00 0.00 1.00 0.09 5.00 1.00 0.00 1.00 sevenweeks_databases
63.00 0.32 0.68 0.14 0.86 282.41 0.09 5.00 0.00 0.03 joelgrus_data-science-from-scratch
