all_commits weekend_commits weekday_commits work_hrs_commits non_work_hrs_commits inter_commit_distance_average commits_per_day_average authors_count author_vs_committer active_days repo_name
10.00 0.00 1.00 0.80 0.20 2.64 10.00 2.00 0.00 1.00 cvdlab-alumni_homework
4.00 0.00 1.00 1.00 0.00 47.45 0.67 4.00 0.00 0.50 nau-comp3320_homework00
24.00 0.04 0.96 0.29 0.71 406.26 0.06 1.00 0.00 0.04 rwatso12_Homework
1.00 0.00 1.00 1.00 0.00 0.00 1.00 1.00 0.00 1.00 biofisio32_Coursera
60.00 0.32 0.68 0.48 0.52 135.45 0.18 10.00 0.00 0.07 iict-it227_homework-rocketship
12.00 0.42 0.58 0.00 1.00 41.53 0.63 4.00 0.00 0.35 lyzcharles_HomeWork
4.00 0.00 1.00 1.00 0.00 0.12 4.00 1.00 0.00 1.00 kokoon_homework
2.00 0.00 1.00 0.50 0.50 10.89 2.00 1.00 0.00 1.00 Epam-node-js-training_session-1-homework
30.00 0.37 0.63 0.77 0.23 62.58 0.40 3.00 0.00 0.20 Spectop1017_homework
37.00 0.16 0.84 0.41 0.59 223.10 0.11 6.00 0.00 0.03 agent-system_homework
29.00 0.21 0.79 0.72 0.28 25.57 0.97 4.00 0.00 0.37 gdc-haskell_homework
182.00 0.89 0.11 0.74 0.26 0.92 26.31 47.00 0.00 0.86 zhufengzhufeng_zhufeng_homework9
1.00 0.00 1.00 1.00 0.00 0.00 1.00 1.00 0.00 1.00 makersquare_js-course
597.00 0.14 0.86 0.28 0.72 2.93 8.21 24.00 0.00 0.84 ga-wolf_WDi14-Homework
3.00 0.00 1.00 0.00 1.00 79.98 0.45 2.00 0.00 0.29 LYecheng_week4-homework
11.00 0.18 0.82 0.73 0.27 6.49 4.07 3.00 0.00 1.00 ruby-course-may-2014_homework1
276.00 0.17 0.83 0.22 0.78 1.57 15.38 7.00 0.00 1.00 astory_cs4740_4
342.00 0.30 0.70 0.68 0.32 59.39 0.41 2.00 0.00 0.18 webdude21_Homework
4.00 0.00 1.00 0.00 1.00 34.39 0.93 2.00 0.00 0.40 AmalHussein_ga-methods-calculator-homework
3.00 0.00 1.00 0.00 1.00 0.03 3.00 1.00 0.00 1.00 sf-wdi-15_auth_homework
1.00 0.00 1.00 0.00 1.00 0.00 1.00 1.00 0.00 1.00 boothappdev-s15_week_1_homework
19.00 0.26 0.74 0.26 0.74 5.55 4.57 2.00 0.00 1.00 ppizarro_coursera
10.00 0.20 0.80 0.80 0.20 116.77 0.23 3.00 0.00 0.14 ga-students_wdi-fundamentals-memorygame
11.00 0.00 1.00 0.09 0.91 425.88 0.06 1.00 0.00 0.02 UCSB-CS56-M16_M16-lab06
248.00 0.15 0.85 0.02 0.98 23.71 1.02 3.00 0.00 0.14 wzb56_homework
5.00 0.60 0.40 0.00 1.00 25.06 1.20 2.00 0.00 0.40 eranda2595_ios-decal-hw5
6.00 0.17 0.83 0.83 0.17 11.29 2.55 1.00 0.00 0.67 FEWD80_homework-04-citipix
3.00 0.00 1.00 1.00 0.00 0.06 3.00 2.00 0.00 1.00 wally-fork_homework
4.00 0.00 1.00 0.00 1.00 47.30 0.68 2.00 0.00 0.33 jgiang_ios-decal-hw3
302.00 0.27 0.73 0.28 0.72 7.62 3.16 2.00 0.00 0.42 DavidYKay_homework
114.00 0.33 0.67 0.45 0.55 65.73 0.37 1.00 0.00 0.13 d0ntth1nc_SoftUny-HW
1.00 0.00 1.00 0.00 1.00 0.00 1.00 1.00 0.00 1.00 raincoatrun_hw2
57.00 0.18 0.82 0.68 0.32 44.16 0.55 9.00 0.00 0.27 CS171_2015-cs171-homework
4.00 0.00 1.00 0.00 1.00 0.89 4.00 1.00 0.00 1.00 outsidebedisdoor_ios-decal-hw2
6.00 0.17 0.83 0.00 1.00 193.19 0.15 3.00 0.00 0.12 christi3k_coursework
5.00 0.00 1.00 0.60 0.40 38.30 0.78 1.00 0.00 0.43 zxftr45_kottans_2016_homeworks
49.00 0.24 0.76 0.24 0.76 11.24 2.18 5.00 0.00 0.57 shrike_homework
133.00 0.86 0.14 0.40 0.60 1.44 16.75 41.00 0.00 1.00 zhufengzhufeng_homework_node7
22.00 0.14 0.86 0.09 0.91 84.39 0.30 1.00 0.00 0.15 CS212-S16_homework
110.00 0.30 0.70 0.36 0.64 16.64 1.46 28.00 0.00 0.37 GeekBand_GeekBand-Android-1501-Homework
22.00 0.00 1.00 0.95 0.05 26.75 0.94 3.00 0.00 0.29 ruby-course-may-2014_homework2
119.00 0.15 0.85 0.14 0.86 66.91 0.36 13.00 0.00 0.08 joelburton_Homework
17.00 0.53 0.47 0.82 0.18 288.23 0.09 2.00 0.00 0.04 kingspray_c-programming-2014-2015-homework
17.00 0.24 0.76 0.53 0.47 535.53 0.05 1.00 0.00 0.02 qcl_ntu-homeworks
50.00 0.12 0.88 0.54 0.46 35.29 0.69 1.00 0.00 0.21 Sta523-Fa15_Homework
721.00 0.05 0.95 0.38 0.62 2.47 9.73 30.00 0.00 0.48 sf-wdi-22-23_22-homework
68.00 0.04 0.96 0.43 0.57 57.61 0.42 3.00 0.00 0.11 EvgeniyViktorov_homework
40.00 0.70 0.30 0.23 0.78 25.99 0.95 2.00 0.00 0.35 Swizec_ml-class-homework
8.00 0.00 1.00 0.38 0.62 7.04 3.89 2.00 0.00 0.67 wdi-sf-jan_dom_lab
3.00 0.00 1.00 0.00 1.00 6.88 3.00 2.00 0.00 1.00 devleague_prep_getting_loopy
11.00 1.00 0.00 0.09 0.91 2.01 11.00 1.00 0.00 1.00 nroxana_homework
43.00 0.26 0.74 0.51 0.49 563.36 0.04 7.00 0.00 0.02 neueda_homework
8.00 0.62 0.38 0.62 0.38 126.76 0.22 1.00 0.00 0.08 kaw3939_Homework
10.00 0.10 0.90 0.20 0.80 259.45 0.10 2.00 0.00 0.09 datascience16_homeworks
32.00 0.22 0.78 0.31 0.69 496.90 0.05 1.00 0.00 0.04 emilmont_Artificial-Intelligence-and-Machine-Learning
60.00 0.22 0.78 0.35 0.65 332.61 0.07 2.00 0.00 0.05 charmoniumQ_Homework
158.00 0.09 0.91 0.47 0.53 7.35 3.29 38.00 0.00 0.16 zhufengzhufeng_node02_homeWork
13.00 0.08 0.92 0.38 0.62 34.42 0.76 6.00 0.00 0.33 agent-system_homework20150415
14.00 0.14 0.86 0.00 1.00 503.83 0.05 1.00 0.00 0.02 azariosays_homework
10.00 0.00 1.00 0.00 1.00 0.05 10.00 1.00 0.00 1.00 Grouper_Homework
18.00 0.00 1.00 0.00 1.00 0.15 18.00 3.00 0.00 1.00 syoon46_Homework
34.00 0.21 0.79 0.41 0.59 26.07 0.95 12.00 0.00 0.19 UCS0065_20141103_homework
23.00 0.30 0.70 0.61 0.39 298.52 0.08 1.00 0.00 0.02 jez_latex-homework-class
16.00 0.44 0.56 0.81 0.19 17.55 1.46 2.00 0.00 0.45 fdac_Homework0
3.00 0.00 1.00 1.00 0.00 0.16 3.00 1.00 0.00 1.00 CSCI391_Homework2
35.00 0.03 0.97 0.17 0.83 263.44 0.09 2.00 0.00 0.02 NGSAnalysisOnBeocatClass_homework
3.00 0.00 1.00 1.00 0.00 0.11 3.00 1.00 0.00 1.00 web-programming-2016s_1
80.00 0.25 0.75 0.19 0.81 45.08 0.54 1.00 0.00 0.22 davidvgus_homework
150.00 0.21 0.79 0.55 0.45 303.21 0.08 23.00 0.00 0.05 fmi_python-homework
