total dirs files folder_names file_names fo_and_fi_names repo_name
5 0.40 0.60 "Documentation Reference " ".gitattributes .gitignore README.md " ".gitattributes .gitignore Documentation README.md Reference " moltin_docs
9 0.67 0.33 "config en es fr pt themes " ".gitignore Makefile README.mdown " ".gitignore Makefile README.mdown config en es fr pt themes " croogo_docs
57 0.05 0.95 "anno erra rev1 " "A.html B.html C.html D.html E.html G.html Makefile README.html README.md anno.js bibliography.html bubble.svg drawing.png es5_errata.html favicon.ico figure1.gif index.html introduction.html js-mascot.svg key.html multi.html server.js spec-splitter.py spec.html style.css timestamp.js x1.html x10.html x11.html x12.html x13.html x14.html x15.1.html x15.10.html x15.11.html x15.12.html x15.2.html x15.3.html x15.4.html x15.5.html x15.6.html x15.7.html x15.8.html x15.9.html x15.html x16.html x2.html x3.html x4.html x5.html x6.html x7.html x8.html x9.html " "A.html B.html C.html D.html E.html G.html Makefile README.html README.md anno.js anno bibliography.html bubble.svg drawing.png erra es5_errata.html favicon.ico figure1.gif index.html introduction.html js-mascot.svg key.html multi.html rev1 server.js spec-splitter.py spec.html style.css timestamp.js x1.html x10.html x11.html x12.html x13.html x14.html x15.1.html x15.10.html x15.11.html x15.12.html x15.2.html x15.3.html x15.4.html x15.5.html x15.6.html x15.7.html x15.8.html x15.9.html x15.html x16.html x2.html x3.html x4.html x5.html x6.html x7.html x8.html x9.html " es5_es5
30 0.27 0.73 "_templates examples howtos images integrations manage_deps packaging reference " ".gitignore LICENSE Makefile auto.sh changelog.rst conanfile_py.rst conf.py examples.rst faq.rst getting_started.rst howtos.rst index.rst install_nginx.sh installation.rst integrations.rst make.bat make_mac.sh manage_deps.rst packaging.rst reference.rst server.rst videos.rst " ".gitignore LICENSE Makefile _templates auto.sh changelog.rst conanfile_py.rst conf.py examples.rst examples faq.rst getting_started.rst howtos.rst howtos images index.rst install_nginx.sh installation.rst integrations.rst integrations make.bat make_mac.sh manage_deps.rst manage_deps packaging.rst packaging reference.rst reference server.rst videos.rst " conan-io_docs
16 0.62 0.38 "_data _docs _includes _layouts concepts css fonts images patent pdf " ".gitignore Gemfile LICENSE README.md _config.yml favicon.ico " ".gitignore Gemfile LICENSE README.md _config.yml _data _docs _includes _layouts concepts css favicon.ico fonts images patent pdf " Qabel_qabel
14 0.64 0.36 "coreupdate etcd flannel fleet golang ignition kubernetes os quay-enterprise " ".gitignore CONTRIBUTING.md LICENSE README.md STYLE.md " ".gitignore CONTRIBUTING.md LICENSE README.md STYLE.md coreupdate etcd flannel fleet golang ignition kubernetes os quay-enterprise " coreos_docs
100 0.02 0.98 "config images " ".gitignore ajax-attributes-api.md ajax-extras.md ajax-handlers.md ajax-introduction.md ajax-javascript-api.md ajax-update-partials.md backend-controllers-ajax.md backend-controls.md backend-forms.md backend-import-export.md backend-lists.md backend-relations.md backend-reorder.md backend-users.md backend-views-partials.md backend-widgets.md cms-ajax.md cms-components.md cms-content.md cms-layouts.md cms-mediamanager.md cms-pages.md cms-partials.md cms-themes.md console-commands.md console-development.md console-scaffolding.md database-attachments.md database-basics.md database-collection.md database-model.md database-mutators.md database-query.md database-relations.md database-serialization.md database-structure.md database-traits.md help-developer-guide.md help-gateway.md help-unit-testing.md markup-filter-app.md markup-filter-default.md markup-filter-md.md markup-filter-media.md markup-filter-page.md markup-filter-raw.md markup-filter-theme.md markup-function-dump.md markup-function-form.md markup-function-html.md markup-function-str.md markup-tag-component.md markup-tag-content.md markup-tag-flash.md markup-tag-for.md markup-tag-if.md markup-tag-macro.md markup-tag-partial.md markup-tag-placeholder.md markup-tag-scripts.md markup-tag-styles.md markup-tag-verbatim.md markup-templating.md markup-this-environment.md markup-this-layout.md markup-this-page.md markup-this-param.md markup-this-theme.md plugin-components.md plugin-extending.md plugin-localization.md plugin-registration.md plugin-scheduling.md plugin-settings.md plugin-updates.md services-application.md services-behaviors.md services-cache.md services-collections.md services-error-log.md services-events.md services-filesystem-cdn.md services-hashing-encryption.md services-helpers.md services-html.md services-mail.md services-pagination.md services-parser.md services-queues.md services-request-input.md services-response-view.md services-router.md services-session.md services-validation.md setup-configuration.md setup-installation.md themes-development.md " ".gitignore ajax-attributes-api.md ajax-extras.md ajax-handlers.md ajax-introduction.md ajax-javascript-api.md ajax-update-partials.md backend-controllers-ajax.md backend-controls.md backend-forms.md backend-import-export.md backend-lists.md backend-relations.md backend-reorder.md backend-users.md backend-views-partials.md backend-widgets.md cms-ajax.md cms-components.md cms-content.md cms-layouts.md cms-mediamanager.md cms-pages.md cms-partials.md cms-themes.md config console-commands.md console-development.md console-scaffolding.md database-attachments.md database-basics.md database-collection.md database-model.md database-mutators.md database-query.md database-relations.md database-serialization.md database-structure.md database-traits.md help-developer-guide.md help-gateway.md help-unit-testing.md images markup-filter-app.md markup-filter-default.md markup-filter-md.md markup-filter-media.md markup-filter-page.md markup-filter-raw.md markup-filter-theme.md markup-function-dump.md markup-function-form.md markup-function-html.md markup-function-str.md markup-tag-component.md markup-tag-content.md markup-tag-flash.md markup-tag-for.md markup-tag-if.md markup-tag-macro.md markup-tag-partial.md markup-tag-placeholder.md markup-tag-scripts.md markup-tag-styles.md markup-tag-verbatim.md markup-templating.md markup-this-environment.md markup-this-layout.md markup-this-page.md markup-this-param.md markup-this-theme.md plugin-components.md plugin-extending.md plugin-localization.md plugin-registration.md plugin-scheduling.md plugin-settings.md plugin-updates.md services-application.md services-behaviors.md services-cache.md services-collections.md services-error-log.md services-events.md services-filesystem-cdn.md services-hashing-encryption.md services-helpers.md services-html.md services-mail.md services-pagination.md services-parser.md services-queues.md services-request-input.md services-response-view.md services-router.md services-session.md services-validation.md setup-configuration.md setup-installation.md themes-development.md " octobercms_docs
26 0.12 0.88 "events methods types " "README.md index_bot_users.md index_custom_integrations.md index_developer_policy.md index_faq.md index_getting_started.md index_incoming_webhooks.md index_outgoing_webhooks.md index_rtm.md index_slack_apps.md index_slash_commands.md index_web.md page_attachments.md page_changelog.md page_formatting.md page_messages.md page_oauth.md page_oauth_scopes.md page_presence.md page_rate_limits.md page_slack_apps_checklist.md page_slack_button.md page_unfurling.md " "README.md events index_bot_users.md index_custom_integrations.md index_developer_policy.md index_faq.md index_getting_started.md index_incoming_webhooks.md index_outgoing_webhooks.md index_rtm.md index_slack_apps.md index_slash_commands.md index_web.md methods page_attachments.md page_changelog.md page_formatting.md page_messages.md page_oauth.md page_oauth_scopes.md page_presence.md page_rate_limits.md page_slack_apps_checklist.md page_slack_button.md page_unfurling.md types " slackhq_slack-api-docs
16 0.00 1.00 "" ".gitignore README.md docker-0-7-0-major-features.md docker-15-tips.md docker-closes-15-m-dollars-series-b-foundings.md docker-http-proxy-with-golang-en.md docker-http-proxy-with-golang.md docker-segmentfault-qa-sub-site.md fiona.md fish-shell-docker-completion-mac-os.md how-to-deploy-your-own-private-docker-registry.md lance.md meaglith.md quickly-ssh-into-a-docker-container.md rocker.md the-docker-book-sample-download.md " ".gitignore README.md docker-0-7-0-major-features.md docker-15-tips.md docker-closes-15-m-dollars-series-b-foundings.md docker-http-proxy-with-golang-en.md docker-http-proxy-with-golang.md docker-segmentfault-qa-sub-site.md fiona.md fish-shell-docker-completion-mac-os.md how-to-deploy-your-own-private-docker-registry.md lance.md meaglith.md quickly-ssh-into-a-docker-container.md rocker.md the-docker-book-sample-download.md " liubin_docs
28 0.39 0.61 ".travis dev_ref extension-points getting-started gradle license parameters release-notes resources samples user-guide " ".editorconfig .gitattributes .gitignore .travis.yml CONTRIBUTING.md DITA-OT_docs.xpr LICENSE.md README.md build.gradle build.xml gradlew gradlew.bat index.dita site.ditamap site.gradle userguide-book.ditamap userguide.ditamap " ".editorconfig .gitattributes .gitignore .travis.yml .travis CONTRIBUTING.md DITA-OT_docs.xpr LICENSE.md README.md build.gradle build.xml dev_ref extension-points getting-started gradle gradlew gradlew.bat index.dita license parameters release-notes resources samples site.ditamap site.gradle user-guide userguide-book.ditamap userguide.ditamap " dita-ot_docs
19 0.47 0.53 "common-tasks controllers export extras getting-started guidelines introduction models views " ".gitignore Makefile README.md autobuild.cmd clean.cmd conf.py example1.png index.rst make html.cmd make.bat " ".gitignore Makefile README.md autobuild.cmd clean.cmd common-tasks conf.py controllers example1.png export extras getting-started guidelines index.rst introduction make html.cmd make.bat models views " oxyplot_docs
12 0.58 0.42 "authors bin conf lib pages theme vendor " ".gitignore .npmignore LICENSE README.md package.json " ".gitignore .npmignore LICENSE README.md authors bin conf lib package.json pages theme vendor " nodejitsu_docs
21 0.62 0.38 ".tx _static _templates de docs_meta en es externals it redirection scripts translated zh_cn " ".gitignore .travis.yml Makefile conf.py i18n_win.py labels.py make.bat requirements.txt " ".gitignore .travis.yml .tx Makefile _static _templates conf.py de docs_meta en es externals i18n_win.py it labels.py make.bat redirection requirements.txt scripts translated zh_cn " mapserver_docs
2 0.50 0.50 "public " "README.md " "README.md public " xindong_docs
23 0.61 0.39 "basic_config configuring developing geode-book getting_started images images_source images_svg managing reference rest_apps supported_configs tools_modules topologies_and_comm " ".gitignore CONTRIBUTE.md COPYRIGHT Geode.ditamap Geode_PDF.ditamap README.md about_geode.xml prereq_and_install.ditamap prereq_and_install.xml " ".gitignore CONTRIBUTE.md COPYRIGHT Geode.ditamap Geode_PDF.ditamap README.md about_geode.xml basic_config configuring developing geode-book getting_started images images_source images_svg managing prereq_and_install.ditamap prereq_and_install.xml reference rest_apps supported_configs tools_modules topologies_and_comm " project-geode_docs
6 0.17 0.83 "docs " ".gitattributes .gitignore LICENSE README.md requirements.txt " ".gitattributes .gitignore LICENSE README.md docs requirements.txt " RackHD_docs
3 0.33 0.67 "docs " ".gitignore README.md " ".gitignore README.md docs " DiscordAPI_docs
4 0.50 0.50 "configs style " "Readme.md gh-md-toc " "Readme.md configs gh-md-toc style " Khan_style-guides
9 0.56 0.44 "de-DE en-US fr-FR images zh-CN " ".gitignore LICENSE README.md TOC.ini " ".gitignore LICENSE README.md TOC.ini de-DE en-US fr-FR images zh-CN " gogits_docs
31 0.58 0.42 ".bundle _includes _layouts _plugins _posts articles cache css faq images jpkImages js mq partner_docs search solutions support worker " ".gitignore 404.html CNAME Dockerfile Gemfile Gemfile.lock README.md _config.yml favicon.ico humans.txt index.html open-search.xml search.json " ".bundle .gitignore 404.html CNAME Dockerfile Gemfile Gemfile.lock README.md _config.yml _includes _layouts _plugins _posts articles cache css faq favicon.ico humans.txt images index.html jpkImages js mq open-search.xml partner_docs search.json search solutions support worker " iron-io_docs
7 0.43 0.57 "en-US images zh-CN " ".gitignore LICENSE README.md TOC.ini " ".gitignore LICENSE README.md TOC.ini en-US images zh-CN " go-macaron_docs
6 0.67 0.33 "hostboot management occ opal " "LICENSE README.md " "LICENSE README.md hostboot management occ opal " open-power_docs
27 0.78 0.22 "_static coap commander data exosite_ready exositeready http introduction murano okami oneplatform portals provision rpc scripting templates tutorials udp videos websocket widget " ".gitignore CONTRIBUTING.md README.md fetch_svc_docs.sh gulpfile.js package.json " ".gitignore CONTRIBUTING.md README.md _static coap commander data exosite_ready exositeready fetch_svc_docs.sh gulpfile.js http introduction murano okami oneplatform package.json portals provision rpc scripting templates tutorials udp videos websocket widget " exosite_docs
8 0.12 0.88 "source " ".gitignore .travis.yml CONTRIBUTING.md Makefile README.md benefits-us.rst make.bat " ".gitignore .travis.yml CONTRIBUTING.md Makefile README.md benefits-us.rst make.bat source " mattermost_docs
11 0.09 0.91 "source " ".gitignore .travis.yml CONTRIBUTING.md Gemfile Gemfile.lock LICENSE.md README.md Rakefile _test.sh config.rb " ".gitignore .travis.yml CONTRIBUTING.md Gemfile Gemfile.lock LICENSE.md README.md Rakefile _test.sh config.rb source " OxideMod_Docs
6 0.17 0.83 "src " ".gitignore .travis.yml README.md book.json deploy.sh " ".gitignore .travis.yml README.md book.json deploy.sh src " intermezzOS_book
25 0.36 0.64 "2014 2015 berlin-2016 files gent-2016 images javascripts schedule stylesheets " "CNAME STREAM Social.html Venue.html code_of_conduct.html favicon.ico food.html fringe.html index.html ksp.html oldindex.html page_template.html past_events.html puppet.html rudder-cfengine.html salt.html " "2014 2015 CNAME STREAM Social.html Venue.html berlin-2016 code_of_conduct.html favicon.ico files food.html fringe.html gent-2016 images index.html javascripts ksp.html oldindex.html page_template.html past_events.html puppet.html rudder-cfengine.html salt.html schedule stylesheets " cfgmgmtcamp_cfgmgmtcamp
12 0.50 0.50 "assets data freid media search templates " ".gitignore .htaccess README.md index.html index.php madoka.json " ".gitignore .htaccess README.md assets data freid index.html index.php madoka.json media search templates " webix-hub_docs
12 0.42 0.58 "_static android ios web windows " ".gitignore LICENSE Makefile README.md conf.py index.md index.rst " ".gitignore LICENSE Makefile README.md _static android conf.py index.md index.rst ios web windows " vinli_docs
42 0.00 1.00 "" ".travis.yml README.md access_token.md accounts.md anaylsis.md broadcast.md cache.md card.md configuration.md contributing.md events.md index.md installation.md integration.md js.md lucky-money.md material.md menu.md merchant_payment.md message-transfer.md messages.md miscellaneous.md notice.md oauth.md open_platform.md payment.md poi.md qrcode.md releases.md reply.md roadmap.md semantic.md server.md shake-around.md short-url.md staff.md store.md troubleshooting.md tutorial.md user-group.md user-tag.md user.md " ".travis.yml README.md access_token.md accounts.md anaylsis.md broadcast.md cache.md card.md configuration.md contributing.md events.md index.md installation.md integration.md js.md lucky-money.md material.md menu.md merchant_payment.md message-transfer.md messages.md miscellaneous.md notice.md oauth.md open_platform.md payment.md poi.md qrcode.md releases.md reply.md roadmap.md semantic.md server.md shake-around.md short-url.md staff.md store.md troubleshooting.md tutorial.md user-group.md user-tag.md user.md " EasyWeChat_docs
7 0.29 0.71 "sources theme " ".gitignore CHANGELOG.md CONTRIBUTING.md README.md mkdocs.yml " ".gitignore CHANGELOG.md CONTRIBUTING.md README.md mkdocs.yml sources theme " upyun_docs
10 0.50 0.50 "app layouts lib tasks tutorials " ".gitignore Gruntfile.js README.md package.json webpack.config.js " ".gitignore Gruntfile.js README.md app layouts lib package.json tasks tutorials webpack.config.js " webpack_docs
13 0.69 0.31 "checklists communications events how-to-work-with-us how-we-work projects staffing strategy style-guides " ".gitignore README.md contributing.md manifesto.md " ".gitignore README.md checklists communications contributing.md events how-to-work-with-us how-we-work manifesto.md projects staffing strategy style-guides " INN_docs
20 0.30 0.70 "assets lib locales public sites spec " ".gitattributes .gitignore .ruby-version .travis.yml CONTRIBUTING.md Gemfile Gemfile.lock LICENSE.md Procfile README.md Rakefile app.rb config.ru step_file_reference.md " ".gitattributes .gitignore .ruby-version .travis.yml CONTRIBUTING.md Gemfile Gemfile.lock LICENSE.md Procfile README.md Rakefile app.rb assets config.ru lib locales public sites spec step_file_reference.md " railsbridge_docs
8 0.12 0.88 "installation " ".gitignore Makefile conf.py deployment.rst index.rst install.rst setup.rst " ".gitignore Makefile conf.py deployment.rst index.rst install.rst installation setup.rst " fudanchii_docs
