all_commits weekend_commits weekday_commits work_hrs_commits non_work_hrs_commits inter_commit_distance_average commits_per_day_average authors_count author_vs_committer active_days repo_name
91.00 0.20 0.80 0.68 0.32 249.89 0.10 21.00 0.00 0.05 gitterHQ_docs
7117.00 0.08 0.92 0.41 0.59 8.88 2.70 264.00 0.00 0.39 sendgrid_docs
1276.00 0.06 0.94 0.29 0.71 19.91 1.21 113.00 0.00 0.37 cloudfoundry_docs-bosh
1531.00 0.06 0.94 0.33 0.67 7.39 3.25 94.00 0.00 0.54 influxdata_docs
332.00 0.18 0.82 0.31 0.69 48.40 0.50 143.00 0.00 0.12 paceuniversity_courses
1367.00 0.04 0.96 0.83 0.17 16.18 1.48 51.00 0.00 0.30 resin-io_docs
628.00 0.08 0.92 0.34 0.66 22.55 1.07 113.00 0.00 0.31 ParsePlatform_docs
661.00 0.00 1.00 0.82 0.18 3.53 6.82 32.00 0.00 0.64 mendix_docs
44150.00 0.10 0.90 0.36 0.64 0.78 30.66 2585.00 0.00 0.98 docker_docker
537.00 0.08 0.92 0.80 0.20 41.77 0.58 37.00 0.00 0.20 satoshilabs_docs
615.00 0.04 0.96 0.85 0.15 31.59 0.76 32.00 0.00 0.11 Sitecore-Community_docs
2238.00 0.12 0.88 0.63 0.37 24.49 0.98 60.00 0.00 0.25 ravendb_docs
3178.00 0.22 0.78 0.52 0.48 12.26 1.96 230.00 0.00 0.51 phalcon_docs
405.00 0.23 0.77 0.24 0.76 23.69 1.02 50.00 0.00 0.31 voltrb_docs
1539.00 0.05 0.95 0.41 0.59 6.02 3.99 35.00 0.00 0.69 cockroachdb_docs
621.00 0.34 0.66 0.35 0.65 56.48 0.43 24.00 0.00 0.18 hexchat_documentation
15647.00 0.30 0.70 0.57 0.43 3.84 6.25 1405.00 0.00 0.82 symfony_symfony-docs
300.00 0.21 0.79 0.26 0.74 32.36 0.74 9.00 0.00 0.14 dthree_wat
920.00 0.28 0.72 0.61 0.39 20.72 1.16 15.00 0.00 0.32 debops_docs
11.00 0.27 0.73 0.55 0.45 719.36 0.04 2.00 0.00 0.03 nunit_docs
8093.00 0.06 0.94 0.54 0.46 4.44 5.41 300.00 0.00 0.66 auth0_docs
545.00 0.09 0.91 0.43 0.57 32.67 0.74 34.00 0.00 0.28 gantry_docs
34.00 0.12 0.88 0.50 0.50 1070.69 0.02 3.00 0.00 0.01 rsajob_docs
151.00 0.19 0.81 0.58 0.42 120.79 0.20 43.00 0.00 0.08 deployphp_docs
1759.00 0.10 0.90 0.23 0.77 24.47 0.98 146.00 0.00 0.37 meteor_docs
1659.00 0.03 0.97 0.88 0.12 15.95 1.51 48.00 0.00 0.40 OpenNebula_docs
5499.00 0.28 0.72 0.47 0.53 5.62 4.27 1106.00 0.00 0.69 adambard_learnxinyminutes-docs
4225.00 0.08 0.92 0.36 0.64 5.04 4.76 193.00 0.00 0.73 docker-library_docs
500.00 0.17 0.83 0.32 0.68 52.50 0.46 77.00 0.00 0.19 Stamplay_docs
57.00 0.07 0.93 0.40 0.60 207.60 0.12 6.00 0.00 0.04 cloudtrax_docs
742.00 0.01 0.99 0.89 0.11 56.20 0.43 44.00 0.00 0.11 yootheme_docs
885.00 0.10 0.90 0.34 0.66 9.48 2.53 56.00 0.00 0.56 StackStorm_st2docs
2951.00 0.03 0.97 0.70 0.30 10.58 2.27 112.00 0.00 0.51 juju_docs
9602.00 0.13 0.87 0.61 0.39 2.49 9.66 92.00 0.00 0.62 UniversalDependencies_docs
133.00 0.20 0.80 0.74 0.26 167.49 0.14 7.00 0.00 0.08 jsreport_docs
2370.00 0.10 0.90 0.38 0.62 7.55 3.18 368.00 0.00 0.65 aspnet_Docs
5447.00 0.16 0.84 0.50 0.50 6.38 3.76 906.00 0.00 0.66 laravel_docs
